dato;produksjon
28.01.04;188
29.01.04;169
30.01.04;594
31.01.04;258
01.02.04;571
02.02.04;496
03.02.04;601
04.02.04;1072
05.02.04;849
06.02.04;601
07.02.04;469
08.02.04;778
09.02.04;895
10.02.04;472
11.02.04;757
12.02.04;1343
13.02.04;1000
14.02.04;652
15.02.04;400
16.02.04;387
17.02.04;677
18.02.04;489
19.02.04;1508
20.02.04;1274
21.02.04;1066
22.02.04;918
23.02.04;631
24.02.04;869
25.02.04;592
26.02.04;163
27.02.04;103
28.02.04;662
29.02.04;1277
01.03.04;858
02.03.04;643
03.03.04;619
04.03.04;558
05.03.04;775
06.03.04;647
07.03.04;491
08.03.04;717
09.03.04;578
10.03.04;347
11.03.04;750
12.03.04;447
13.03.04;458
14.03.04;425
15.03.04;696
16.03.04;668
17.03.04;941
18.03.04;1322
19.03.04;714
20.03.04;654
21.03.04;515
22.03.04;473
23.03.04;439
24.03.04;315
25.03.04;245
26.03.04;893
27.03.04;1161
28.03.04;612
29.03.04;871
30.03.04;885
31.03.04;266
01.04.04;244
02.04.04;685
03.04.04;727
04.04.04;430
05.04.04;456
06.04.04;92
07.04.04;55
08.04.04;819
09.04.04;1367
10.04.04;853
11.04.04;440
12.04.04;633
13.04.04;912
14.04.04;956
15.04.04;239
16.04.04;363
17.04.04;357
18.04.04;549
19.04.04;747
20.04.04;574
21.04.04;296
22.04.04;208
23.04.04;242
24.04.04;226
25.04.04;139
26.04.04;56
27.04.04;70
28.04.04;155
29.04.04;199
30.04.04;66
01.05.04;114
02.05.04;935
03.05.04;227
04.05.04;391
05.05.04;465
06.05.04;514
07.05.04;290
08.05.04;269
09.05.04;299
10.05.04;475
11.05.04;340
12.05.04;551
13.05.04;454
14.05.04;525
15.05.04;268
16.05.04;296
17.05.04;1269
18.05.04;1067
19.05.04;566
20.05.04;434
21.05.04;557
22.05.04;196
23.05.04;246
24.05.04;900
25.05.04;239
26.05.04;152
27.05.04;177
28.05.04;318
29.05.04;571
30.05.04;572
31.05.04;381
01.06.04;550
02.06.04;379
03.06.04;329
04.06.04;83
05.06.04;775
06.06.04;661
07.06.04;787
08.06.04;681
09.06.04;643
10.06.04;544
11.06.04;431
12.06.04;334
13.06.04;968
14.06.04;1340
15.06.04;895
16.06.04;600
17.06.04;174
18.06.04;299
19.06.04;685
20.06.04;426
21.06.04;109
22.06.04;44
23.06.04;285
24.06.04;482
25.06.04;413
26.06.04;192
27.06.04;216
28.06.04;114
29.06.04;423
30.06.04;448
01.07.04;471
02.07.04;290
03.07.04;173
04.07.04;195
05.07.04;188
06.07.04;519
07.07.04;705
08.07.04;168
09.07.04;706
10.07.04;572
11.07.04;235
12.07.04;156
13.07.04;390
14.07.04;373
15.07.04;554
16.07.04;801
17.07.04;297
18.07.04;281
19.07.04;346
20.07.04;218
21.07.04;329
22.07.04;94
23.07.04;184
24.07.04;276
25.07.04;760
26.07.04;412
27.07.04;322
28.07.04;152
29.07.04;167
30.07.04;140
31.07.04;26
01.08.04;178
02.08.04;65
03.08.04;48
04.08.04;57
05.08.04;106
06.08.04;91
07.08.04;165
08.08.04;286
09.08.04;92
10.08.04;125
11.08.04;554
12.08.04;764
13.08.04;488
14.08.04;301
15.08.04;749
16.08.04;389
17.08.04;223
18.08.04;233
19.08.04;377
20.08.04;527
21.08.04;716
22.08.04;203
23.08.04;156
24.08.04;808
25.08.04;359
26.08.04;109
27.08.04;355
28.08.04;711
29.08.04;662
30.08.04;240
31.08.04;402
01.09.04;280
02.09.04;401
03.09.04;191
04.09.04;629
05.09.04;1565
06.09.04;2115
07.09.04;1727
08.09.04;959
09.09.04;1512
10.09.04;1385
11.09.04;455
12.09.04;809
13.09.04;611
14.09.04;821
15.09.04;642
16.09.04;409
17.09.04;478
18.09.04;469
19.09.04;512
20.09.04;471
21.09.04;544
22.09.04;976
23.09.04;676
24.09.04;942
25.09.04;381
26.09.04;646
27.09.04;928
28.09.04;552
29.09.04;124
30.09.04;311
01.10.04;286
02.10.04;384
03.10.04;301
04.10.04;944
05.10.04;488
06.10.04;321
07.10.04;628
08.10.04;499
09.10.04;637
10.10.04;113
11.10.04;1209
12.10.04;721
13.10.04;431
14.10.04;286
15.10.04;313
16.10.04;570
17.10.04;221
18.10.04;297
19.10.04;60
20.10.04;267
21.10.04;591
22.10.04;427
23.10.04;314
24.10.04;240
25.10.04;303
26.10.04;1134
27.10.04;1231
28.10.04;646
29.10.04;461
30.10.04;719
31.10.04;1968
01.11.04;1319
02.11.04;1714
03.11.04;533
04.11.04;683
05.11.04;1532
06.11.04;725
07.11.04;1458
08.11.04;1028
09.11.04;628
10.11.04;494
11.11.04;1685
12.11.04;2168
13.11.04;1951
14.11.04;1814
15.11.04;1695
16.11.04;2142
17.11.04;1283
18.11.04;598
19.11.04;1193
20.11.04;790
21.11.04;319
22.11.04;383
23.11.04;528
24.11.04;1865
25.11.04;742
26.11.04;1971
27.11.04;663
