;kode;tittel;princ
16;137.0;Våler;Våler (Østf.)
17;426.0;Våler;Våler (Hedm.)
37;236.0;Nes;Nes (Ak.)
38;616.0;Nes;Nes (Busk.)
42;301.0;Oslo;Oslo kommune
63;441.0;Os;Os (Hedm.)
64;1243.0;Os;Os (Hord.)
117;713.0;Sande;Sande (Vestf.)
118;1514.0;Sande;Sande (M. og R.)
134;821.0;Bø;Bø (Telem.)
135;1867.0;Bø;Bø (Nordl.)
263;1515.0;Herøy;Herøy (M. og R.)
264;1818.0;Herøy;Herøy (Nordl.)
332;1739.0;Røyrvik;Raarvihke Røyrvik
404;1939.0;Storfjord;Storfjord Omasvuotna Omasvuono
