,region,type,time,variable,value
1061,Oslo with Baerum,00 Boliger i alt,2017-09-01,"Prisindeks for brukte boliger, sesongjustert",121.7
1063,Oslo with Baerum,00 Boliger i alt,2017-12-01,"Prisindeks for brukte boliger, sesongjustert",121.7
1065,Oslo with Baerum,00 Boliger i alt,2018-03-01,"Prisindeks for brukte boliger, sesongjustert",122.0
1067,Oslo with Baerum,00 Boliger i alt,2018-06-01,"Prisindeks for brukte boliger, sesongjustert",126.3
1069,Oslo with Baerum,00 Boliger i alt,2018-09-01,"Prisindeks for brukte boliger, sesongjustert",126.7
1817,Stavanger,00 Boliger i alt,2005-03-01,"Prisindeks for brukte boliger, sesongjustert",48.1
1819,Stavanger,00 Boliger i alt,2005-06-01,"Prisindeks for brukte boliger, sesongjustert",49.3
1821,Stavanger,00 Boliger i alt,2005-09-01,"Prisindeks for brukte boliger, sesongjustert",50.4
1823,Stavanger,00 Boliger i alt,2005-12-01,"Prisindeks for brukte boliger, sesongjustert",52.8
1825,Stavanger,00 Boliger i alt,2006-03-01,"Prisindeks for brukte boliger, sesongjustert",56.6
1827,Stavanger,00 Boliger i alt,2006-06-01,"Prisindeks for brukte boliger, sesongjustert",60.7
1829,Stavanger,00 Boliger i alt,2006-09-01,"Prisindeks for brukte boliger, sesongjustert",65.1
1831,Stavanger,00 Boliger i alt,2006-12-01,"Prisindeks for brukte boliger, sesongjustert",68.8
1833,Stavanger,00 Boliger i alt,2007-03-01,"Prisindeks for brukte boliger, sesongjustert",73.1
1835,Stavanger,00 Boliger i alt,2007-06-01,"Prisindeks for brukte boliger, sesongjustert",73.9
1837,Stavanger,00 Boliger i alt,2007-09-01,"Prisindeks for brukte boliger, sesongjustert",76.7
1839,Stavanger,00 Boliger i alt,2007-12-01,"Prisindeks for brukte boliger, sesongjustert",77.4
1841,Stavanger,00 Boliger i alt,2008-03-01,"Prisindeks for brukte boliger, sesongjustert",78.0
1843,Stavanger,00 Boliger i alt,2008-06-01,"Prisindeks for brukte boliger, sesongjustert",78.2
1845,Stavanger,00 Boliger i alt,2008-09-01,"Prisindeks for brukte boliger, sesongjustert",75.5
1847,Stavanger,00 Boliger i alt,2008-12-01,"Prisindeks for brukte boliger, sesongjustert",71.9
1849,Stavanger,00 Boliger i alt,2009-03-01,"Prisindeks for brukte boliger, sesongjustert",72.0
1851,Stavanger,00 Boliger i alt,2009-06-01,"Prisindeks for brukte boliger, sesongjustert",74.2
1853,Stavanger,00 Boliger i alt,2009-09-01,"Prisindeks for brukte boliger, sesongjustert",77.9
1855,Stavanger,00 Boliger i alt,2009-12-01,"Prisindeks for brukte boliger, sesongjustert",82.7
1857,Stavanger,00 Boliger i alt,2010-03-01,"Prisindeks for brukte boliger, sesongjustert",85.2
1859,Stavanger,00 Boliger i alt,2010-06-01,"Prisindeks for brukte boliger, sesongjustert",86.8
