DK1,DK2,EE,FI,LT,LV,SE1,SE2,SE3,SE4,date,DK,SE
24163,9189,2388.0,23270.0,2676,346.0,5719.0,25182.0,24388.0,14033.0,2018-09-15,33352,69322.0
40553,5028,2016.0,25113.0,3393,370.0,7548.0,21783.0,21556.0,10911.0,2018-09-16,45581,61798.0
20713,4584,3534.0,12968.0,5774,759.0,1904.0,13908.0,28061.0,13930.0,2018-09-17,25297,57803.0
44731,7833,1660.0,16252.0,2049,316.0,2584.0,12257.0,27581.0,12599.0,2018-09-18,52564,55021.0
55924,7002,2694.0,15834.0,2968,427.0,1738.0,17336.0,36376.0,13677.0,2018-09-19,62926,69127.0
38152,8693,3386.0,34689.0,2006,515.0,,,,,2018-09-20,46845,
68825,19274,3105.0,34821.0,6582,677.0,,,,,2018-09-21,88099,
65011,20014,4149.0,40219.0,8427,1046.0,,,,,2018-09-22,85025,
55370,11222,2319.0,32303.0,6250,869.0,,,,,2018-09-23,66592,
57895,18552,1552.0,25215.0,4033,427.0,,,,,2018-09-24,76447,
30360,8270,3747.0,28355.0,5365,698.0,,,,,2018-09-25,38630,
72498,21708,4860.0,35379.0,9958,1048.0,,,,,2018-09-26,94206,
63968,17151,4393.0,31215.0,9804,983.0,,,,,2018-09-27,81119,
59651,15963,1384.0,10270.0,7310,750.0,,,,,2018-09-28,75614,
42320,8193,1783.0,21896.0,3193,434.0,,,,,2018-09-29,50513,
38752,10884,4383.0,26470.0,8258,1041.0,,,,,2018-09-30,49636,
32970,6256,1482.0,8714.0,1689,125.0,,,,,2018-10-01,39226,
58535,18616,853.0,4729.0,4585,350.0,,,,,2018-10-02,77151,
47071,19464,1627.0,9400.0,7852,538.0,,,,,2018-10-03,66535,
28497,7271,1949.0,8531.0,4171,344.0,,,,,2018-10-04,35768,
28812,9144,3306.0,35475.0,6272,822.0,,,,,2018-10-05,37956,
12679,1495,1652.0,26667.0,4946,563.0,,,,,2018-10-06,14174,
16091,5950,913.0,4987.0,2826,179.0,,,,,2018-10-07,22041,
56893,10766,2931.0,12919.0,2276,477.0,,,,,2018-10-08,67659,
49853,7929,4244.0,,4990,939.0,,,,,2018-10-09,57782,
15171,3559,2536.0,,2513,358.0,,,,,2018-10-10,18730,
40083,11778,336.0,13477.0,2896,140.0,,,,,2018-10-11,51861,
36620,6828,1642.0,18652.0,4362,327.0,,,,,2018-10-12,43448,
47059,9689,2044.0,26497.0,2522,280.0,,,,,2018-10-13,56748,
39506,11434,2480.0,37093.0,4709,381.0,,,,,2018-10-14,50940,
10694,3784,2938.0,24756.0,4527,396.0,,,,,2018-10-15,14478,
3304,870,1538.0,7697.0,2691,214.0,,,,,2018-10-16,4174,
10992,520,1128.0,18925.0,1061,127.0,,,,,2018-10-17,11512,
20456,4576,1596.0,17377.0,917,161.0,,,,,2018-10-18,25032,
7621,882,1301.0,20420.0,472,33.0,,,,,2018-10-19,8503,
19819,4341,253.0,5550.0,104,26.0,,,,,2018-10-20,24160,
39153,5462,2346.0,31121.0,1306,288.0,,,,,2018-10-21,44615,
57968,14863,3987.0,27673.0,6075,780.0,,,,,2018-10-22,72831,
78588,23033,2635.0,7654.0,9058,901.0,,,,,2018-10-23,101621,
49291,15236,2559.0,5888.0,9760,974.0,,,,,2018-10-24,64527,
66137,21548,295.0,7803.0,1935,64.0,,,,,2018-10-25,87685,
28938,12161,453.0,6472.0,1711,151.0,,,,,2018-10-26,41099,
47742,14432,3385.0,13980.0,9001,600.0,,,,,2018-10-27,62174,
35419,8541,3059.0,11188.0,3736,317.0,,,,,2018-10-28,43960,
64104,20411,3267.0,11594.0,9390,791.0,,,,,2018-10-29,84515,
59893,16754,4866.0,27982.0,11064,1075.0,,,,,2018-10-30,76647,
38567,14058,4385.0,29809.0,4727,697.0,,,,,2018-10-31,52625,
31766,4920,1374.0,23165.0,5043,239.0,,,,,2018-11-01,36686,
37014,12408,2407.0,19509.0,3754,448.0,,,,,2018-11-02,49422,
29636,3092,2270.0,21567.0,2023,417.0,,,,,2018-11-03,32728,
28346,4644,1113.0,23892.0,1665,87.0,,,,,2018-11-04,32990,
10996,3449,1027.0,27613.0,3247,137.0,,,,,2018-11-05,14445,
12283,3066,889.0,11919.0,4006,229.0,,,,,2018-11-06,15349,
