DK1,DK2,EE,FI,LT,LV,SE1,SE2,SE3,SE4,date,DK,SE
1773,536,15.0,,75,,,,,,2013-02-16,2309,
2664,244,367.0,,218,,,,,,2013-02-17,2908,
23569,6711,552.0,,1316,,,,,,2013-02-18,30280,
31179,13472,2257.0,,1589,,,,,,2013-02-19,44651,
19832,12628,2166.0,,2999,,,,,,2013-02-20,32460,
6612,6441,228.0,,954,,,,,,2013-02-21,13053,
3159,2697,601.0,,223,,,,,,2013-02-22,5856,
18659,13282,143.0,,2480,,,,,,2013-02-23,31941,
34177,15669,225.0,,2719,,,,,,2013-02-24,49846,
21452,12896,176.0,,1219,,,,,,2013-02-25,34348,
3536,2712,1744.0,,163,,,,,,2013-02-26,6248,
3085,521,1383.0,,351,,,,,,2013-02-27,3606,
29913,8119,2629.0,,2958,,,,,,2013-02-28,38032,
13550,6160,3207.0,,3302,,,,,,2013-03-01,19710,
42489,13368,1773.0,,2726,,,,,,2013-03-02,55857,
23844,6518,2672.0,,4458,,,,,,2013-03-03,30362,
7156,760,1328.0,,1174,,,,,,2013-03-04,7916,
9410,3049,1044.0,,1459,,,,,,2013-03-05,12459,
9835,1741,3208.0,,1293,,,,,,2013-03-06,11576,
53947,22205,3024.0,,1327,,,,,,2013-03-07,76152,
59650,22634,1299.0,,1675,,,,,,2013-03-08,82284,
56555,21322,1118.0,,2713,,,,,,2013-03-09,77877,
59123,22567,357.0,,3617,,,,,,2013-03-10,81690,
25338,14416,1492.0,,2098,,,,,,2013-03-11,39754,
9309,1252,852.0,,589,,,,,,2013-03-12,10561,
9496,2797,1284.0,,42,,,,,,2013-03-13,12293,
4921,1405,324.0,,113,,,,,,2013-03-14,6326,
19601,415,733.0,,2497,,,,,,2013-03-15,20016,
42873,14851,1109.0,,1794,,,,,,2013-03-16,57724,
60805,21840,741.0,,315,,,,,,2013-03-17,82645,
67604,23604,1738.0,,1769,,,,,,2013-03-18,91208,
44524,17293,2814.0,,4208,,,,,,2013-03-19,61817,
29019,10484,3719.0,,1938,,,,,,2013-03-20,39503,
21475,6928,2319.0,,1361,,,,,,2013-03-21,28403,
36141,14362,1296.0,,2654,,,,,,2013-03-22,50503,
38757,13358,458.0,,691,,,,,,2013-03-23,52115,
25500,8357,669.0,,934,,,,,,2013-03-24,33857,
24064,10064,521.0,,767,,,,,,2013-03-25,34128,
13719,8430,474.0,,473,,,,,,2013-03-26,22149,
10478,7344,347.0,,779,,,,,,2013-03-27,17822,
16923,10416,1048.0,,1438,,,,,,2013-03-28,27339,
15099,4936,680.0,,3323,,,,,,2013-03-29,20035,
10628,1304,1145.0,,559,,,,,,2013-03-30,11932,
4711,1307,175.0,,419,,,,,,2013-03-31,6018,
4965,2115,1634.0,,2130,,,,,,2013-04-01,7080,
5202,527,1164.0,,547,,,,,,2013-04-02,5729,
7360,4307,233.0,,758,,,,,,2013-04-03,11667,
8084,6902,472.0,,1349,,,,,,2013-04-04,14986,
12323,5734,1628.0,,1057,,,,,,2013-04-05,18057,
13291,1564,1066.0,,787,,,,,,2013-04-06,14855,
19972,8670,1019.0,,1293,,,,,,2013-04-07,28642,
3691,1450,100.0,,1179,,,,,,2013-04-08,5141,
32880,15562,29.0,,478,,,,,,2013-04-09,48442,
35479,15274,532.0,,1063,,,,,,2013-04-10,50753,
20035,8866,564.0,,465,,,,,,2013-04-11,28901,
6081,2812,973.0,,2048,,,,,,2013-04-12,8893,
4467,1529,2857.0,,1124,,,,,,2013-04-13,5996,
31569,5386,565.0,,618,,,,,,2013-04-14,36955,
23587,8959,2169.0,,1269,,,,,,2013-04-15,32546,
26577,2935,2688.0,,2607,,,,,,2013-04-16,29512,
28391,5148,3152.0,,1511,,,,,,2013-04-17,33539,
59348,16513,3167.0,,2484,,,,,,2013-04-18,75861,
56390,14647,4000.0,,3020,,,,,,2013-04-19,71037,
13328,2426,2790.0,,1987,,,,,,2013-04-20,15754,
10037,3546,588.0,,592,,,,,,2013-04-21,13583,
20368,2003,977.0,,1547,,,,,,2013-04-22,22371,
48575,17185,3692.0,,2557,,,,,,2013-04-23,65760,
36870,11963,3524.0,,4266,,,,,,2013-04-24,48833,
11081,3853,2398.0,,2019,,,,,,2013-04-25,14934,
9442,3812,1113.0,,1095,,,,,,2013-04-26,13254,
10095,3023,250.0,,847,,,,,,2013-04-27,13118,
24074,2474,182.0,,118,,,,,,2013-04-28,26548,
53897,13428,2278.0,,1180,,,,,,2013-04-29,67325,
44026,12548,3383.0,,3223,,,,,,2013-04-30,56574,
7106,991,1400.0,,443,,,,,,2013-05-01,8097,
9098,1296,2477.0,,489,,,,,,2013-05-02,10394,
10828,1420,422.0,,913,,,,,,2013-05-03,12248,
32339,6018,673.0,,216,,,,,,2013-05-04,38357,
12889,2381,2840.0,,1315,,,,,,2013-05-05,15270,
2910,912,698.0,,132,,,,,,2013-05-06,3822,
5838,4719,1161.0,,354,,,,,,2013-05-07,10557,
19380,4881,450.0,,1650,,,,,,2013-05-08,24261,
14586,1988,1689.0,,1504,,,,,,2013-05-09,16574,
37908,3988,316.0,,241,,,,,,2013-05-10,41896,
19035,3719,279.0,,315,,,,,,2013-05-11,22754,
14043,3145,89.0,,310,,,,,,2013-05-12,17188,
26001,7508,172.0,,443,,,,,,2013-05-13,33509,
13844,4685,471.0,,497,,,,,,2013-05-14,18529,
30686,12055,174.0,,762,,,,,,2013-05-15,42741,
14568,8012,1054.0,,1425,,,,,,2013-05-16,22580,
27846,11375,1399.0,,979,,,,,,2013-05-17,39221,
20469,7485,807.0,,931,,,,,,2013-05-18,27954,
7740,1479,511.0,,643,,,,,,2013-05-19,9219,
2455,481,1167.0,,743,,,,,,2013-05-20,2936,
8832,3132,1516.0,,630,,,,,,2013-05-21,11964,
51958,9599,730.0,,382,,,,,,2013-05-22,61557,
30419,8020,222.0,,711,,,,,,2013-05-23,38439,
9715,2661,822.0,,552,,,,,,2013-05-24,12376,
16051,3986,2787.0,,1470,,,,,,2013-05-25,20037,
30113,6304,1634.0,,892,,,,,,2013-05-26,36417,
9653,1896,878.0,,1437,,,,,,2013-05-27,11549,
6447,3882,2020.0,,1587,,,,,,2013-05-28,10329,
27025,10061,1231.0,,570,,,,,,2013-05-29,37086,
12745,4180,326.0,,834,,,,,,2013-05-30,16925,
14897,4498,675.0,,1970,,,,,,2013-05-31,19395,
21455,3165,1058.0,,1673,,,,,,2013-06-01,24620,
55948,13620,856.0,,490,,,,,,2013-06-02,69568,
37636,10974,369.0,,744,49.0,,,,,2013-06-03,48610,
13945,5606,271.0,,574,240.0,,,,,2013-06-04,19551,
6639,1706,221.0,,583,157.0,,,,,2013-06-05,8345,
4037,1145,411.0,,301,31.0,,,,,2013-06-06,5182,
7022,342,285.0,,319,31.0,,,,,2013-06-07,7364,
19673,2214,301.0,,253,77.0,,,,,2013-06-08,21887,
12364,1531,189.0,,231,155.0,,,,,2013-06-09,13895,
5445,1454,351.0,,365,54.0,,,,,2013-06-10,6899,
3882,1196,1753.0,,411,72.0,,,,,2013-06-11,5078,
19133,1790,459.0,,331,74.0,,,,,2013-06-12,20923,
41535,5989,1124.0,,1712,412.0,,,,,2013-06-13,47524,
39752,14024,2799.0,,2612,584.0,,,,,2013-06-14,53776,
29364,6296,1938.0,,818,257.0,,,,,2013-06-15,35660,
42197,13318,1750.0,,1504,487.0,,,,,2013-06-16,55515,
10036,2032,1789.0,,1879,374.0,,,,,2013-06-17,12068,
4404,386,544.0,,165,100.0,,,,,2013-06-18,4790,
15451,4140,185.0,,204,26.0,,,,,2013-06-19,19591,
4878,1576,642.0,,847,118.0,,,,,2013-06-20,6454,
19836,10675,506.0,,1381,146.0,,,,,2013-06-21,30511,
33030,10913,1024.0,,249,185.0,,,,,2013-06-22,43943,
27311,5756,108.0,,328,61.0,,,,,2013-06-23,33067,
17763,4232,187.0,,516,35.0,,,,,2013-06-24,21995,
21747,4354,209.0,,962,89.0,,,,,2013-06-25,26101,
42782,16824,437.0,,847,197.0,,,,,2013-06-26,59606,
26427,9467,588.0,,530,122.0,,,,,2013-06-27,35894,
28323,6153,276.0,,147,30.0,,,,,2013-06-28,34476,
38723,8621,572.0,,157,31.0,,,,,2013-06-29,47344,
34895,14766,303.0,,627,88.0,,,,,2013-06-30,49661,
9646,3122,345.0,,1369,114.0,,,,,2013-07-01,12768,
10860,1138,655.0,,453,157.0,,,,,2013-07-02,11998,
17803,5462,208.0,,185,13.0,,,,,2013-07-03,23265,
5742,907,183.0,,702,48.0,,,,,2013-07-04,6649,
20424,3836,756.0,,353,116.0,,,,,2013-07-05,24260,
6491,1645,1005.0,,677,100.0,,,,,2013-07-06,8136,
6380,515,823.0,,687,107.0,,,,,2013-07-07,6895,
12662,1271,743.0,,737,192.0,,,,,2013-07-08,13933,
15927,1018,457.0,,481,103.0,,,,,2013-07-09,16945,
34451,11167,313.0,,320,75.0,,,,,2013-07-10,45618,
6177,4711,382.0,,211,114.0,,,,,2013-07-11,10888,
2439,1374,419.0,,1099,236.0,,,,,2013-07-12,3813,
19227,5101,320.0,,460,188.0,,,,,2013-07-13,24328,
43230,13634,400.0,,652,44.0,,,,,2013-07-14,56864,
28286,6992,751.0,,779,116.0,,,,,2013-07-15,35278,
20125,4842,2045.0,,1617,198.0,,,,,2013-07-16,24967,
18610,3015,2137.0,,801,96.0,,,,,2013-07-17,21625,
30009,5297,904.0,,1255,138.0,,,,,2013-07-18,35306,
34883,8566,1891.0,,2377,384.0,,,,,2013-07-19,43449,
4642,969,3046.0,,2623,510.0,,,,,2013-07-20,5611,
3931,1372,2026.0,,2083,410.0,,,,,2013-07-21,5303,
1808,385,4022.0,,3133,732.0,,,,,2013-07-22,2193,
8579,3219,2394.0,,2248,473.0,,,,,2013-07-23,11798,
5782,850,1035.0,,762,77.0,,,,,2013-07-24,6632,
2580,381,311.0,,85,4.0,,,,,2013-07-25,2961,
1714,595,490.0,,67,16.0,,,,,2013-07-26,2309,
4379,1329,90.0,,101,5.0,,,,,2013-07-27,5708,
21238,5790,66.0,,361,43.0,,,,,2013-07-28,27028,
5165,230,422.0,,1066,153.0,,,,,2013-07-29,5395,
16288,6743,1825.0,,1683,196.0,,,,,2013-07-30,23031,
17894,6400,755.0,,642,148.0,,,,,2013-07-31,24294,
4885,1400,755.0,,1469,321.0,,,,,2013-08-01,6285,
16563,4015,1226.0,,1299,205.0,,,,,2013-08-02,20578,
31127,7126,311.0,,290,43.0,,,,,2013-08-03,38253,
10536,816,54.0,,313,57.0,,,,,2013-08-04,11352,
16369,3814,255.0,,94,27.0,,,,,2013-08-05,20183,
32960,9040,85.0,,653,95.0,,,,,2013-08-06,42000,
9984,1267,1287.0,,951,145.0,,,,,2013-08-07,11251,
11824,5801,500.0,,347,35.0,,,,,2013-08-08,17625,
16598,3044,1349.0,,1598,274.0,,,,,2013-08-09,19642,
12500,3753,662.0,,123,24.0,,,,,2013-08-10,16253,
30248,9853,258.0,,1021,186.0,,,,,2013-08-11,40101,
26966,11351,2065.0,,1686,487.0,,,,,2013-08-12,38317,
40732,13716,1185.0,,758,136.0,,,,,2013-08-13,54448,
41359,16720,1696.0,,2722,206.0,,,,,2013-08-14,58079,
19351,3132,3012.0,,1146,198.0,,,,,2013-08-15,22483,
29369,3843,940.0,,647,140.0,,,,,2013-08-16,33212,
12521,1171,1975.0,,1580,403.0,,,,,2013-08-17,13692,
39191,7406,2227.0,,1555,253.0,,,,,2013-08-18,46597,
7299,820,1055.0,,314,84.0,,,,,2013-08-19,8119,
10019,3070,16.0,,541,19.0,,,,,2013-08-20,13089,
8053,1305,402.0,,322,78.0,,,,,2013-08-21,9358,
1041,233,549.0,,485,109.0,,,,,2013-08-22,1274,
8153,3879,1053.0,,928,169.0,,,,,2013-08-23,12032,
24826,8630,364.0,,1072,126.0,,,,,2013-08-24,33456,
19579,9596,233.0,,859,86.0,,,,,2013-08-25,29175,
6707,6404,69.0,,622,99.0,,,,,2013-08-26,13111,
2745,1747,125.0,,623,48.0,,,,,2013-08-27,4492,
5512,459,430.0,,147,32.0,,,,,2013-08-28,5971,
16821,1212,296.0,,242,94.0,,,,,2013-08-29,18033,
10340,2094,134.0,,393,30.0,,,,,2013-08-30,12434,
38656,9294,306.0,,570,89.0,,,,,2013-08-31,47950,
43763,14120,1196.0,,2452,288.0,,,,,2013-09-01,57883,
52763,17130,978.0,,2724,224.0,,,,,2013-09-02,69893,
13934,2749,1331.0,,3020,548.0,,,,,2013-09-03,16683,
2973,207,93.0,,489,36.0,,,,,2013-09-04,3180,
19142,3619,22.0,,155,19.0,,,,,2013-09-05,22761,
41184,11141,336.0,,393,35.0,,,,,2013-09-06,52325,
20174,9683,230.0,,450,28.0,,,,,2013-09-07,29857,
29480,10611,204.0,,404,13.0,,,,,2013-09-08,40091,
9080,9517,242.0,,1209,165.0,,,,,2013-09-09,18597,
11881,3448,725.0,,602,116.0,,,,,2013-09-10,15329,
9282,2166,438.0,,524,68.0,,,,,2013-09-11,11448,
4601,317,254.0,,440,71.0,,,,,2013-09-12,4918,
1189,138,538.0,,724,155.0,,,,,2013-09-13,1327,
13963,1471,1008.0,,1236,200.0,,,,,2013-09-14,15434,
36965,7717,658.0,,610,61.0,,,,,2013-09-15,44682,
39691,13667,1094.0,,795,181.0,,,,,2013-09-16,53358,
29758,10410,1262.0,,133,100.0,,,,,2013-09-17,40168,
5153,1388,1690.0,,485,62.0,,,,,2013-09-18,6541,
3819,1074,1299.0,,201,56.0,,,,,2013-09-19,4893,
883,492,311.0,,1050,187.0,,,,,2013-09-20,1375,
11599,2293,350.0,,1490,226.0,,,,,2013-09-21,13892,
42316,13003,1812.0,,2815,401.0,,,,,2013-09-22,55319,
40408,13230,3200.0,,3845,796.0,,,,,2013-09-23,53638,
11491,2122,2493.0,,1359,274.0,,,,,2013-09-24,13613,
11519,1888,2054.0,,1133,204.0,,,,,2013-09-25,13407,
9115,2513,1953.0,,547,105.0,,,,,2013-09-26,11628,
7059,2586,505.0,,1155,232.0,,,,,2013-09-27,9645,
5702,857,1071.0,,334,80.0,,,,,2013-09-28,6559,
17126,5083,911.0,,649,139.0,,,,,2013-09-29,22209,
16594,5735,460.0,,306,55.0,,,,,2013-09-30,22329,
18021,3899,455.0,,517,49.0,,,,,2013-10-01,21920,
27009,7779,169.0,,259,24.0,,,,,2013-10-02,34788,
47594,14947,1317.0,,45,51.0,,,,,2013-10-03,62541,
47920,16760,1506.0,,844,247.0,,,,,2013-10-04,64680,
28770,3321,3121.0,,2256,507.0,,,,,2013-10-05,32091,
16195,1928,1428.0,,781,167.0,,,,,2013-10-06,18123,
21941,2511,1637.0,,1869,293.0,,,,,2013-10-07,24452,
23064,2726,1093.0,,1150,372.0,,,,,2013-10-08,25790,
20709,7642,2976.0,,1476,657.0,,,,,2013-10-09,28351,
10552,2913,676.0,,425,87.0,,,,,2013-10-10,13465,
38430,15030,587.0,,267,84.0,,,,,2013-10-11,53460,
42741,19109,401.0,,547,63.0,,,,,2013-10-12,61850,
21925,4814,1333.0,,620,41.0,,,,,2013-10-13,26739,
9402,2450,481.0,,157,19.0,,,,,2013-10-14,11852,
12300,2480,1530.0,,138,100.0,,,,,2013-10-15,14780,
4889,1095,717.0,,40,19.0,,,,,2013-10-16,5984,
18499,10100,714.0,,1024,174.0,,,,,2013-10-17,28599,
18263,9114,3902.0,,2234,551.0,,,,,2013-10-18,27377,
20625,5727,2958.0,,2143,473.0,,,,,2013-10-19,26352,
18851,4691,470.0,,362,29.0,,,,,2013-10-20,23542,
12290,5891,499.0,,1653,280.0,,,,,2013-10-21,18181,
38134,10436,2115.0,,1872,405.0,,,,,2013-10-22,48570,
42382,13429,4773.0,,3770,729.0,,,,,2013-10-23,55811,
50932,15241,3631.0,,3110,781.0,,,,,2013-10-24,66173,
24883,6307,2935.0,,2699,562.0,,,,,2013-10-25,31190,
52646,13530,2144.0,,2696,605.0,,,,,2013-10-26,66176,
57779,18308,2113.0,,2436,412.0,,,,,2013-10-27,76087,
50240,17694,3232.0,,4074,875.0,,,,,2013-10-28,67934,
45050,19810,4430.0,,4221,675.0,,,,,2013-10-29,64860,
30471,16540,1885.0,,3686,615.0,,,,,2013-10-30,47011,
42411,18074,1571.0,,2729,674.0,,,,,2013-10-31,60485,
32814,13379,3149.0,,2535,683.0,,,,,2013-11-01,46193,
11402,1309,1273.0,,1226,253.0,,,,,2013-11-02,12711,
62442,17271,568.0,,886,92.0,,,,,2013-11-03,79713,
28775,10948,2246.0,,3764,648.0,,,,,2013-11-04,39723,
25486,13603,3696.0,,3345,737.0,,,,,2013-11-05,39089,
8907,5695,699.0,,241,59.0,,,,,2013-11-06,14602,
24048,4853,569.0,,672,106.0,,,,,2013-11-07,28901,
28101,4076,2376.0,,859,365.0,,,,,2013-11-08,32177,
36066,18723,2058.0,,2558,496.0,,,,,2013-11-09,54789,
16403,6575,2990.0,,1760,478.0,,,,,2013-11-10,22978,
22575,4408,159.0,,381,20.0,,,,,2013-11-11,26983,
38544,14152,3673.0,,1963,616.0,,,,,2013-11-12,52696,
37316,8993,2467.0,,2548,364.0,,,,,2013-11-13,46309,
27464,6700,822.0,,758,105.0,,,,,2013-11-14,34164,
23254,3676,1863.0,,1569,397.0,,,,,2013-11-15,26930,
50683,15981,3470.0,,4276,759.0,,,,,2013-11-16,66664,
17966,4719,4091.0,,2744,594.0,,,,,2013-11-17,22685,
11493,3276,3047.0,,2071,384.0,,,,,2013-11-18,14769,
13201,5455,3700.0,,2191,445.0,,,,,2013-11-19,18656,
11141,2672,1554.0,,991,123.0,,,,,2013-11-20,13813,
16361,1271,1091.0,,479,115.0,,,,,2013-11-21,17632,
8501,2586,244.0,,201,27.0,,,,,2013-11-22,11087,
10622,1424,364.0,,64,53.0,,,,,2013-11-23,12046,
30402,10647,1474.0,,1469,223.0,,,,,2013-11-24,41049,
13245,6466,845.0,,998,201.0,,,,,2013-11-25,19711,
11730,1993,1464.0,,1062,221.0,,,,,2013-11-26,13723,
54525,16688,3577.0,,4366,823.0,,,,,2013-11-27,71213,
61306,20659,4377.0,,4945,958.0,,,,,2013-11-28,81965,
30577,11146,1477.0,,1318,308.0,,,,,2013-11-29,41723,
22760,5455,1416.0,,336,92.0,,,,,2013-11-30,28215,
57088,17137,3462.0,,4625,877.0,,,,,2013-12-01,74225,
10634,2012,2721.0,,1826,472.0,,,,,2013-12-02,12646,
33960,7478,3249.0,,3953,809.0,,,,,2013-12-03,41438,
47868,15986,327.0,,3883,419.0,,,,,2013-12-04,63854,
51691,16088,2863.0,,4606,884.0,,,,,2013-12-05,67779,
53040,14958,1826.0,,4367,489.0,,,,,2013-12-06,67998,
31192,15697,798.0,,3542,479.0,,,,,2013-12-07,46889,
42877,13208,396.0,,2543,338.0,,,,,2013-12-08,56085,
9061,4299,292.0,,965,88.0,,,,,2013-12-09,13360,
20933,4326,2054.0,,1459,311.0,,,,,2013-12-10,25259,
23203,5325,2051.0,,2337,409.0,,,,,2013-12-11,28528,
40741,7404,3309.0,,2968,682.0,,,,,2013-12-12,48145,
14859,2891,3417.0,,1991,363.0,,,,,2013-12-13,17750,
22888,5086,561.0,,375,60.0,,,,,2013-12-14,27974,
52235,15569,2700.0,,1125,247.0,,,,,2013-12-15,67804,
64092,18361,3190.0,,2584,724.0,,,,,2013-12-16,82453,
15008,4162,3144.0,,2658,447.0,,,,,2013-12-17,19170,
26565,5854,1664.0,,491,159.0,,,,,2013-12-18,32419,
41439,14109,1944.0,,2034,302.0,,,,,2013-12-19,55548,
45386,11879,3374.0,,925,324.0,,,,,2013-12-20,57265,
74771,21352,3010.0,,3636,807.0,,,,,2013-12-21,96123,
62456,21257,4287.0,,3732,1004.0,,,,,2013-12-22,83713,
61583,18404,4480.0,,4165,940.0,,,,,2013-12-23,79987,
62986,21811,3924.0,,4130,820.0,,,,,2013-12-24,84797,
42135,8908,4587.0,,4162,611.0,,,,,2013-12-25,51043,
10833,1067,2356.0,,2323,175.0,,,,,2013-12-26,11900,
59758,15572,3509.0,,2781,585.0,,,,,2013-12-27,75330,
58640,9571,4623.0,,3525,677.0,,,,,2013-12-28,68211,
39922,8771,1465.0,,1262,208.0,,,,,2013-12-29,48693,
54850,15538,2710.0,,2997,734.0,,,,,2013-12-30,70388,
49814,11490,3157.0,,2038,585.0,,,,,2013-12-31,61304,
38111,8029,1813.0,,1634,188.0,,,,,2014-01-01,46140,
47334,14514,725.0,,1347,150.0,,,,,2014-01-02,61848,
48831,13295,924.0,,1151,169.0,,,,,2014-01-03,62126,
49814,14759,1954.0,,2298,519.0,,,,,2014-01-04,64573,
24402,6923,918.0,,1571,185.0,,,,,2014-01-05,31325,
56378,16369,651.0,,2135,269.0,,,,,2014-01-06,72747,
63909,18525,2466.0,,3255,675.0,,,,,2014-01-07,82434,
57407,15696,2306.0,,2642,727.0,,,,,2014-01-08,73103,
46278,16643,1168.0,,3515,537.0,,,,,2014-01-09,62921,
51593,20215,1827.0,,4903,777.0,,,,,2014-01-10,71808,
48154,16850,788.0,,2858,387.0,,,,,2014-01-11,65004,
43933,16747,1101.0,,1850,230.0,,,,,2014-01-12,60680,
38721,9357,1124.0,,820,124.0,,,,,2014-01-13,48078,
6360,1004,28.0,,715,27.0,,,,,2014-01-14,7364,
35226,5132,362.0,,984,91.0,,,,,2014-01-15,40358,
66653,18403,853.0,,479,73.0,,,,,2014-01-16,85056,
50552,9794,560.0,,2352,190.0,,,,,2014-01-17,60346,
63269,15921,1029.0,,1802,289.0,,,,,2014-01-18,79190,
81191,24066,899.0,,3515,386.0,,,,,2014-01-19,105257,
65035,21383,1081.0,,4133,436.0,,,,,2014-01-20,86418,
37745,11234,673.0,,2645,328.0,,,,,2014-01-21,48979,
57188,15649,719.0,,1243,143.0,,,,,2014-01-22,72837,
68251,17193,835.0,,985,122.0,,,,,2014-01-23,85444,
63308,16082,324.0,,1238,109.0,,,,,2014-01-24,79390,
68106,15605,499.0,,1183,130.0,,,,,2014-01-25,83711,
68769,15725,352.0,,3169,440.0,,,,,2014-01-26,84494,
60111,13129,1894.0,,4391,801.0,,,,,2014-01-27,73240,
59399,9807,3086.0,,4314,707.0,,,,,2014-01-28,69206,
57822,14695,3043.0,,4708,914.0,,,,,2014-01-29,72517,
44085,12652,3082.0,,4545,860.0,,,,,2014-01-30,56737,
34211,6037,3984.0,,4869,862.0,,,,,2014-01-31,40248,
53189,12450,3323.0,,4388,673.0,,,,,2014-02-01,65639,
47564,6574,1893.0,,2543,299.0,,,,,2014-02-02,54138,
20839,3888,267.0,,408,43.0,,,,,2014-02-03,24727,
27865,4315,221.0,,2008,263.0,,,,,2014-02-04,32180,
33365,4738,913.0,,1663,242.0,,,,,2014-02-05,38103,
48528,12890,1365.0,,1223,211.0,,,,,2014-02-06,61418,
54337,18440,1232.0,,2503,373.0,,,,,2014-02-07,72777,
54940,17295,3537.0,,2835,654.0,,,,,2014-02-08,72235,
65411,17768,2309.0,,2023,404.0,,,,,2014-02-09,83179,
32236,8569,443.0,,194,42.0,,,,,2014-02-10,40805,
14941,6383,251.0,,1387,94.0,,,,,2014-02-11,21324,
45376,11715,1188.0,,1835,292.0,,,,,2014-02-12,57091,
56925,13205,1039.0,,1096,159.0,,,,,2014-02-13,70130,
40767,6960,384.0,,922,52.0,,,,,2014-02-14,47727,
76991,21677,959.0,,2141,267.0,,,,,2014-02-15,98668,
70401,21847,3140.0,,2933,672.0,,,,,2014-02-16,92248,
40613,10959,2770.0,,4542,970.0,,,,,2014-02-17,51572,
21099,6908,2425.0,,2802,469.0,,,,,2014-02-18,28007,
6212,3299,254.0,,289,26.0,,,,,2014-02-19,9511,
29557,9076,348.0,,845,65.0,,,,,2014-02-20,38633,
30197,9316,1474.0,,1529,257.0,,,,,2014-02-21,39513,
59856,14756,2559.0,,912,432.0,,,,,2014-02-22,74612,
65598,14870,3247.0,,915,504.0,,,,,2014-02-23,80468,
50703,13615,4399.0,,2142,564.0,,,,,2014-02-24,64318,
31486,8422,3025.0,,2497,388.0,,,,,2014-02-25,39908,
15595,2018,774.0,,1259,183.0,,,,,2014-02-26,17613,
27204,1566,293.0,,1171,67.0,,,,,2014-02-27,28770,
11801,2416,348.0,,1138,103.0,,,,,2014-02-28,14217,
3046,1392,528.0,,785,89.0,,,,,2014-03-01,4438,
30105,3868,568.0,,1111,119.0,,,,,2014-03-02,33973,
47459,12181,1394.0,,1855,206.0,,,,,2014-03-03,59640,
8716,2441,216.0,,1632,279.0,,,,,2014-03-04,11157,
3568,627,858.0,,440,97.0,,,,,2014-03-05,4195,
36364,4187,828.0,,96,28.0,,,,,2014-03-06,40551,
66966,12886,3979.0,,930,486.0,,,,,2014-03-07,79852,
33874,5117,4491.0,,2314,615.0,,,,,2014-03-08,38991,
49845,11414,4268.0,,2486,776.0,,,,,2014-03-09,61259,
21034,6909,3235.0,,2962,757.0,,,,,2014-03-10,27943,
5330,1695,2628.0,,847,179.0,,,,,2014-03-11,7025,
10018,343,2174.0,,1285,265.0,,,,,2014-03-12,10361,
20603,2374,1630.0,,2051,268.0,,,,,2014-03-13,22977,
46855,9050,3966.0,,1996,556.0,,,,,2014-03-14,55905,
71357,21010,3101.0,,4686,840.0,,,,,2014-03-15,92367,
66906,18582,3215.0,,3191,602.0,,,,,2014-03-16,85488,
65597,19432,277.0,,2875,366.0,,,,,2014-03-17,85029,
40875,14036,480.0,,1809,182.0,,,,,2014-03-18,54911,
57330,15720,940.0,,2090,266.0,,,,,2014-03-19,73050,
69550,18031,1657.0,,2513,470.0,,,,,2014-03-20,87581,
46573,9717,4195.0,,3047,736.0,,,,,2014-03-21,56290,
41745,6442,1911.0,,974,191.0,,,,,2014-03-22,48187,
17944,4647,1315.0,,311,86.0,,,,,2014-03-23,22591,
2623,542,290.0,,1106,71.0,,,,,2014-03-24,3165,
20873,6007,2576.0,,2232,616.0,,,,,2014-03-25,26880,
48410,7638,3557.0,,432,169.0,,,,,2014-03-26,56048,
15395,3378,805.0,,880,199.0,,,,,2014-03-27,18773,
13673,5681,1173.0,,1528,300.0,,,,,2014-03-28,19354,
11104,2017,743.0,,582,84.0,,,,,2014-03-29,13121,
1002,674,1086.0,,114,52.0,,,,,2014-03-30,1676,
3697,701,1073.0,,484,126.0,,,,,2014-03-31,4398,
15699,5468,467.0,,415,80.0,,,,,2014-04-01,21167,
23696,9259,867.0,,116,26.0,,,,,2014-04-02,32955,
17502,6977,967.0,,745,124.0,,,,,2014-04-03,24479,
48412,15790,1141.0,,831,135.0,,,,,2014-04-04,64202,
24469,3899,2516.0,,1124,207.0,,,,,2014-04-05,28368,
23266,5472,1297.0,,1232,404.0,,,,,2014-04-06,28738,
21225,5474,200.0,,795,84.0,,,,,2014-04-07,26699,
46629,12938,1218.0,,631,102.0,,,,,2014-04-08,59567,
52962,17867,3189.0,,1362,134.0,,,,,2014-04-09,70829,
3902,2092,1394.0,,1413,243.0,,,,,2014-04-10,5994,
8003,2233,3217.0,,1368,312.0,,,,,2014-04-11,10236,
35010,2455,1825.0,,547,255.0,,,,,2014-04-12,37465,
62006,16312,3888.0,,2195,627.0,,,,,2014-04-13,78318,
58134,13951,1323.0,,1607,290.0,,,,,2014-04-14,72085,
36119,12584,1099.0,,841,323.0,,,,,2014-04-15,48703,
8593,682,958.0,,1340,218.0,,,,,2014-04-16,9275,
53689,11576,3258.0,,1310,582.0,,,,,2014-04-17,65265,
35175,4493,1750.0,,1650,319.0,,,,,2014-04-18,39668,
6969,5338,315.0,,1051,146.0,,,,,2014-04-19,12307,
24283,12292,521.0,,1901,222.0,,,,,2014-04-20,36575,
34278,10082,774.0,,1462,240.0,,,,,2014-04-21,44360,
27066,7891,871.0,,690,241.0,,,,,2014-04-22,34957,
20110,9110,2386.0,,1795,408.0,,,,,2014-04-23,29220,
