,currency,sector,credit_source,time,variable,value
53,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-05-01,Innenlandsk lσnegjeld,895.465
54,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-06-01,Innenlandsk lσnegjeld,890.03
55,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-07-01,Innenlandsk lσnegjeld,884.442
56,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-08-01,Innenlandsk lσnegjeld,880.502
57,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-09-01,Innenlandsk lσnegjeld,879.318
58,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-10-01,Innenlandsk lσnegjeld,874.093
59,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-11-01,Innenlandsk lσnegjeld,877.333
60,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1992-12-01,Innenlandsk lσnegjeld,888.835
61,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-01-01,Innenlandsk lσnegjeld,883.085
62,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-02-01,Innenlandsk lσnegjeld,882.218
63,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-03-01,Innenlandsk lσnegjeld,877.286
64,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-04-01,Innenlandsk lσnegjeld,872.858
65,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-05-01,Innenlandsk lσnegjeld,874.98
66,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-06-01,Innenlandsk lσnegjeld,880.63
67,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-07-01,Innenlandsk lσnegjeld,877.693
68,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-08-01,Innenlandsk lσnegjeld,873.702
69,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-09-01,Innenlandsk lσnegjeld,872.832
70,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-10-01,Innenlandsk lσnegjeld,873.328
71,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-11-01,Innenlandsk lσnegjeld,872.389
72,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1993-12-01,Innenlandsk lσnegjeld,877.687
73,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-01-01,Innenlandsk lσnegjeld,880.73
74,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-02-01,Innenlandsk lσnegjeld,877.435
75,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-03-01,Innenlandsk lσnegjeld,878.726
76,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-04-01,Innenlandsk lσnegjeld,879.038
77,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-05-01,Innenlandsk lσnegjeld,879.514
78,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-06-01,Innenlandsk lσnegjeld,885.209
79,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-07-01,Innenlandsk lσnegjeld,882.745
80,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-08-01,Innenlandsk lσnegjeld,880.824
81,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-09-01,Innenlandsk lσnegjeld,884.34
82,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-10-01,Innenlandsk lσnegjeld,887.072
83,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-11-01,Innenlandsk lσnegjeld,888.91
84,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1994-12-01,Innenlandsk lσnegjeld,893.465
85,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-01-01,Innenlandsk lσnegjeld,891.967
86,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-02-01,Innenlandsk lσnegjeld,895.284
87,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-03-01,Innenlandsk lσnegjeld,901.354
88,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-04-01,Innenlandsk lσnegjeld,902.963
89,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-05-01,Innenlandsk lσnegjeld,904.812
90,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-06-01,Innenlandsk lσnegjeld,906.449
91,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-07-01,Innenlandsk lσnegjeld,907.264
92,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-08-01,Innenlandsk lσnegjeld,913.718
93,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-09-01,Innenlandsk lσnegjeld,919.452
