,time,value
1066,2012-10-01,120.0
1071,2012-11-01,99.0
1076,2012-12-01,76.0
1081,2013-01-01,103.0
1086,2013-02-01,129.0
1091,2013-03-01,116.0
1096,2013-04-01,147.0
1101,2013-05-01,156.0
1106,2013-06-01,103.0
1111,2013-07-01,60.0
1116,2013-08-01,69.0
1121,2013-09-01,93.0
1126,2013-10-01,120.0
1131,2013-11-01,107.0
1136,2013-12-01,108.0
1141,2014-01-01,116.0
1146,2014-02-01,133.0
1151,2014-03-01,129.0
1156,2014-04-01,141.0
1161,2014-05-01,117.0
1166,2014-06-01,133.0
1171,2014-07-01,56.0
1176,2014-08-01,84.0
1181,2014-09-01,150.0
1186,2014-10-01,106.0
1191,2014-11-01,104.0
1196,2014-12-01,100.0
1201,2015-01-01,111.0
1206,2015-02-01,98.0
1211,2015-03-01,123.0
1216,2015-04-01,88.0
1221,2015-05-01,123.0
1226,2015-06-01,88.0
1231,2015-07-01,47.0
1236,2015-08-01,68.0
1241,2015-09-01,112.0
1246,2015-10-01,90.0
1251,2015-11-01,98.0
1256,2015-12-01,88.0
1261,2016-01-01,88.0
1266,2016-02-01,109.0
1271,2016-03-01,112.0
1276,2016-04-01,128.0
1281,2016-05-01,125.0
1286,2016-06-01,143.0
1291,2016-07-01,48.0
1296,2016-08-01,100.0
1301,2016-09-01,137.0
1306,2016-10-01,105.0
1311,2016-11-01,89.0
1316,2016-12-01,52.0
1321,2017-01-01,103.0
1326,2017-02-01,106.0
1331,2017-03-01,110.0
1336,2017-04-01,68.0
1341,2017-05-01,81.0
1346,2017-06-01,98.0
1351,2017-07-01,47.0
1356,2017-08-01,86.0
1361,2017-09-01,87.0
1366,2017-10-01,115.0
1371,2017-11-01,127.0
1376,2017-12-01,74.0
1381,2018-01-01,97.0
1386,2018-02-01,110.0
1391,2018-03-01,74.0
1396,2018-04-01,103.0
1401,2018-05-01,99.0
1406,2018-06-01,83.0
1411,2018-07-01,64.0
1416,2018-08-01,90.0
1421,2018-09-01,104.0
1426,2018-10-01,102.0
1431,2018-11-01,102.0
1436,2018-12-01,97.0
