,currency,sector,credit_source,time,variable,value
16041,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-03-01,Innenlandsk lσnegjeld,277.882
16042,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-04-01,Innenlandsk lσnegjeld,277.731
16043,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-05-01,Innenlandsk lσnegjeld,276.566
16044,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-06-01,Innenlandsk lσnegjeld,272.827
16045,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-07-01,Innenlandsk lσnegjeld,272.432
16046,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-08-01,Innenlandsk lσnegjeld,268.83
16047,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-09-01,Innenlandsk lσnegjeld,275.128
16048,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-10-01,Innenlandsk lσnegjeld,275.039
16049,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-11-01,Innenlandsk lσnegjeld,274.337
16050,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1992-12-01,Innenlandsk lσnegjeld,288.199
16051,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-01-01,Innenlandsk lσnegjeld,280.556
16052,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-02-01,Innenlandsk lσnegjeld,279.029
16053,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-03-01,Innenlandsk lσnegjeld,278.199
16054,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-04-01,Innenlandsk lσnegjeld,277.424
16055,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-05-01,Innenlandsk lσnegjeld,276.631
16056,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-06-01,Innenlandsk lσnegjeld,280.573
16057,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-07-01,Innenlandsk lσnegjeld,280.463
16058,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-08-01,Innenlandsk lσnegjeld,282.496
16059,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-09-01,Innenlandsk lσnegjeld,282.843
16060,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-10-01,Innenlandsk lσnegjeld,283.7
16061,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-11-01,Innenlandsk lσnegjeld,285.715
16062,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1993-12-01,Innenlandsk lσnegjeld,297.176
16063,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-01-01,Innenlandsk lσnegjeld,295.988
16064,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-02-01,Innenlandsk lσnegjeld,295.032
16065,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-03-01,Innenlandsk lσnegjeld,296.044
16066,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-04-01,Innenlandsk lσnegjeld,297.401
16067,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-05-01,Innenlandsk lσnegjeld,298.579
16068,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-06-01,Innenlandsk lσnegjeld,301.79
16069,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-07-01,Innenlandsk lσnegjeld,303.499
16070,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-08-01,Innenlandsk lσnegjeld,304.687
16071,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-09-01,Innenlandsk lσnegjeld,306.531
16072,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-10-01,Innenlandsk lσnegjeld,308.763
16073,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-11-01,Innenlandsk lσnegjeld,311.904
16074,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1994-12-01,Innenlandsk lσnegjeld,315.925
16075,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-01-01,Innenlandsk lσnegjeld,315.317
16076,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-02-01,Innenlandsk lσnegjeld,315.138
16077,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-03-01,Innenlandsk lσnegjeld,317.44
16078,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-04-01,Innenlandsk lσnegjeld,319.276
16079,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-05-01,Innenlandsk lσnegjeld,322.629
16080,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-06-01,Innenlandsk lσnegjeld,325.116
16081,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-07-01,Innenlandsk lσnegjeld,327.41
16082,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-08-01,Innenlandsk lσnegjeld,329.735
16083,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-09-01,Innenlandsk lσnegjeld,332.217
16084,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-10-01,Innenlandsk lσnegjeld,334.332
16085,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-11-01,Innenlandsk lσnegjeld,337.819
